backbone,eps,eps_tag,rho10,tau10,lambda10,R10,n10,R100,n100,DeltaR_10_100
vit_base_patch16_224,0.00196078431372549,eps050centi_255,0.6829553599925118,0.09747015684843063,0.9850367903709412,38.986556359875905,967,9.513960703205791,967,29.472595656670116
vit_small_patch16_224,0.00196078431372549,eps050centi_255,0.3133781997899855,-0.017484815791249275,0.9626534283161163,48.90829694323144,916,38.209606986899566,916,10.698689956331876
vit_tiny_patch16_224,0.00196078431372549,eps050centi_255,0.2909243696896513,-0.2244742289185524,0.3984120488166809,20.224719101123593,890,14.9438202247191,890,5.280898876404493
wide_resnet50_2,0.00196078431372549,eps050centi_255,0.45506384960847024,-0.07136638462543488,0.8597512245178223,40.76029567053855,947,21.119324181626187,947,19.64097148891236
clip_rn101,0.0029411764705882353,eps075centi_255,0.1510539324833271,-0.7751722037792206,0.07569485902786255,0.6880733944954129,872,0.0,872,0.6880733944954129
clip_rn50,0.0029411764705882353,eps075centi_255,0.18832958913406017,-0.7327166199684143,0.06575078517198563,0.0,851,0.0,851,0.0
clip_vit_l14,0.0029411764705882353,eps075centi_255,0.19844800298123744,-0.6869797110557556,0.14813832938671112,5.036726128016789,953,0.0,953,5.036726128016789
clip_vitb16,0.0029411764705882353,eps075centi_255,0.3484465646284054,-0.39659982919692993,0.23374208807945251,0.9793253536452665,919,0.0,919,0.9793253536452665
convnext_base,0.0029411764705882353,eps075centi_255,0.8884883522333027,0.3247823417186737,0.812527060508728,21.331945889698233,961,5.6191467221644125,961,15.71279916753382
convnext_large,0.0029411764705882353,eps075centi_255,0.5553029586473659,-0.2266566902399063,0.4834868311882019,24.561403508771928,969,6.5015479876160995,969,18.05985552115583
convnext_small,0.0029411764705882353,eps075centi_255,0.6461567500645127,-0.025509612634778023,0.46979543566703796,14.61139896373057,965,3.83419689119171,965,10.77720207253886
convnext_tiny,0.0029411764705882353,eps075centi_255,0.6416721823632532,-0.08360939472913742,0.4056881368160248,8.394543546694647,953,2.6232948583420774,953,5.7712486883525695
deit3_large_patch16_224,0.0029411764705882353,eps075centi_255,0.6465872092483398,0.11705419421195984,1.3420699834823608,56.61538461538461,975,26.769230769230766,975,29.846153846153847
deit3_medium_patch16_224,0.0029411764705882353,eps075centi_255,0.8464713225821452,0.30974966287612915,0.627421498298645,6.210526315789474,950,1.263157894736842,950,4.947368421052632
deit3_small_patch16_224,0.0029411764705882353,eps075centi_255,0.7255414101768205,0.2503742277622223,0.6913557648658752,19.133192389006343,946,6.236786469344609,946,12.896405919661735
deit3_vitb16,0.0029411764705882353,eps075centi_255,0.7595346799750016,0.38270366191864014,1.2472498416900635,40.39460020768432,963,17.86085150571132,963,22.533748701973
